12/10/1978	Kansas City         	 3	Denver              	24
12/10/1978	Houston             	17	New Orleans         	12
12/10/1978	Oakland             	 6	Miami               	23
12/10/1978	Buffalo             	24	New England         	26
12/10/1978	St Louis            	 0	NY Giants           	17
12/10/1978	Seattle             	10	San Diego           	37
12/10/1978	Tampa Bay           	 3	San Francisco       	 6
12/11/1978	Cincinnati          	20	LA Rams             	19
12/16/1978	Chicago             	14	Washington          	10
12/16/1978	Pittsburgh          	21	Denver              	17
12/17/1978	Buffalo             	21	Baltimore           	14
12/17/1978	Cleveland           	16	Cincinnati          	48
12/17/1978	Dallas              	30	NY Jets             	 7
12/17/1978	San Francisco       	14	Detroit             	33
12/17/1978	Green Bay           	14	LA Rams             	31
12/17/1978	New Orleans         	17	Tampa Bay           	10
12/17/1978	Minnesota           	20	Oakland             	27
12/17/1978	NY Giants           	 3	Philadelphia        	20
12/17/1978	San Diego           	45	Houston             	24
12/17/1978	Kansas City         	19	Seattle             	23
12/17/1978	Atlanta             	21	St Louis            	42
12/18/1978	New England         	 3	Miami               	23
12/24/1978	Philadelphia        	13	Atlanta             	14
12/24/1978	Houston             	17	Miami               	 9
12/30/1978	Atlanta             	20	Dallas              	27
12/30/1978	Denver              	10	Pittsburgh          	33
12/31/1978	Houston             	31	New England         	14
12/31/1978	Minnesota           	10	LA Rams             	34
01/07/1979	Dallas              	28	LA Rams             	 0
01/07/1979	Houston             	 5	Pittsburgh          	34
01/21/1979	Pittsburgh          	35	Dallas              	31	n
