12/08/2002    Cleveland       21  Jacksonville    20  1
12/08/2002    Philadelphia    27  Seattle         20  1
12/08/2002    Oakland         27  San Diego        7  1
12/08/2002    Indianapolis    17  Tennessee       27  1
12/08/2002    Buffalo         17  New England     27  1
12/08/2002    San Francisco   31  Dallas          27  1
12/08/2002    New Orleans     37  Baltimore       25  1
12/08/2002    Denver          13  New York Jets   19  1
12/08/2002    Minnesota       22  Green Bay       26  1
12/08/2002    Chicago          9  Miami           27  1
12/15/2002    Baltimore       23  Houston         19  1
12/15/2002    Green Bay       20  San Francisco   14  1
12/15/2002    Indianapolis    28  Cleveland       23  1
12/15/2002    Carolina        14  Pittsburgh      30  1
12/15/2002    Washington      21  Philadelphia    34  1
12/15/2002    Minnesota       32  New Orleans     31  1
12/15/2002    Oakland         17  Miami           23  1
12/15/2002    Tampa Bay       23  Detroit         20  1
12/15/2002    Jacksonville    29  Cincinnati      15  1
12/15/2002    San Diego       13  Buffalo         20  1
12/15/2002    Seattle         30  Atlanta         24  1
12/15/2002    New York Jets   13  Chicago         20  1
12/15/2002    Kansas City     24  Denver          31  1
12/15/2002    Dallas           7  New York Giants 37  1
12/15/2002    Arizona         28  St. Louis       30  1
12/16/2002    New England      7  Tennessee       24  1
12/21/2002    Miami           17  Minnesota       20  1
12/21/2002    San Francisco   17  Arizona         14  1
12/21/2002    Philadelphia    27  Dallas           3  1
12/22/2002    Houston         10  Washington      26  1
12/22/2002    New York Giants 44  Indianapolis    27  1
12/22/2002    San Diego       22  Kansas City     24  1
12/22/2002    Buffalo          0  Green Bay       10  1
12/22/2002    Tennessee       28  Jacksonville    10  1
12/22/2002    New Orleans     13  Cincinnati      20  1
12/22/2002    Chicago         14  Carolina        24  1
12/22/2002    Detroit         15  Atlanta         36  1
12/22/2002    Cleveland       14  Baltimore       13  1
12/22/2002    Denver          16  Oakland         28  1
12/22/2002    St. Louis       10  Seattle         30  1
12/22/2002    New York Jets   30  New England     17  1
12/23/2002    Pittsburgh      17  Tampa Bay        7  1
12/28/2002    Philadelphia     7  New York Giants 10  1
12/28/2002    Kansas City      0  Oakland         24  1
12/29/2002    Dallas          14  Washington      20  1
12/29/2002    Tennessee       13  Houston          3  1
12/29/2002    Baltimore       31  Pittsburgh      34  1
12/29/2002    Atlanta         16  Cleveland       24  1
12/29/2002    Carolina        10  New Orleans      6  1
12/29/2002    Miami           24  New England     27  1
12/29/2002    Minnesota       38  Detroit         36  1
12/29/2002    Cincinnati       9  Buffalo         27  1
12/29/2002    Green Bay       17  New York Jets   42  1
12/29/2002    Arizona          7  Denver          37  1
12/29/2002    Jacksonville    13  Indianapolis    20  1
12/29/2002    Seattle         31  San Diego       28  1
12/29/2002    Tampa Bay       15  Chicago          0  1
12/30/2002    St. Louis       31  San Francisco   20  1
01/04/2003    Indianapolis     0  New York Jets   41  1
01/04/2003    Atlanta         27  Green Bay        7  1
01/05/2003    Cleveland       33  Pittsburgh      36  1
01/05/2003    New York Giants 38  San Francisco   39  1
01/11/2003    Pittsburgh      31  Tennessee       34  1
01/11/2003    Atlanta          6  Philadelphia    20  1
01/12/2003    San Francisco    6  Tampa Bay       31  1
01/12/2003    New York Jets   10  Oakland         30  1
01/19/2003    Tampa Bay       27  Philadelphia    10  1
01/19/2003    Tennessee       24  Oakland         41  1
01/26/2003    Oakland         21  Tampa Bay       48  0
