12/17/1977	Buffalo             	14	Miami               	31
12/17/1977	Minnesota           	30	Detroit             	21
12/17/1977	LA Rams             	14	Washington          	17
12/18/1977	New Orleans         	 7	Atlanta             	35
12/18/1977	New England         	24	Baltimore           	30
12/18/1977	Chicago             	12	NY Giants           	 9
12/18/1977	Denver              	 6	Dallas              	14
12/18/1977	San Francisco       	14	Green Bay           	16
12/18/1977	Cincinnati          	16	Houston             	21
12/18/1977	Kansas City         	20	Oakland             	21
12/18/1977	NY Jets             	 0	Philadelphia        	27
12/18/1977	Pittsburgh          	10	San Diego           	 9
12/18/1977	Cleveland           	19	Seattle             	20
12/18/1977	St Louis            	 7	Tampa Bay           	17
12/24/1977	Pittsburgh          	21	Denver              	34
12/24/1977	Oakland             	37	Baltimore           	31
12/26/1977	Chicago             	 7	Dallas              	37
12/26/1977	Minnesota           	14	LA Rams             	 7
01/01/1978	Minnesota           	 6	Dallas              	23
01/01/1978	Oakland             	17	Denver              	20
01/15/1978	Dallas              	27	Denver              	10	n
