12/09/1991	Cincinnati          	13	Miami               	37
12/14/1991	Tampa Bay           	 0	Chicago             	27
12/14/1991	Kansas City         	14	San Francisco       	28
12/15/1991	Seattle             	13	Atlanta             	26
12/15/1991	Buffalo             	35	Indianapolis        	 7
12/15/1991	Dallas              	25	Philadelphia        	13
12/15/1991	Phoenix             	19	Denver              	24
12/15/1991	Detroit             	21	Green Bay           	17
12/15/1991	Houston             	17	Cleveland           	14
12/15/1991	LA Rams             	14	Minnesota           	20
12/15/1991	New England         	 6	NY Jets             	 3
12/15/1991	Cincinnati          	10	Pittsburgh          	17
12/15/1991	Miami               	30	San Diego           	38
12/15/1991	NY Giants           	17	Washington          	34
12/16/1991	LA Raiders          	 0	New Orleans         	27
12/21/1991	Houston             	20	NY Giants           	24
12/22/1991	New England         	 7	Cincinnati          	29
12/22/1991	Atlanta             	27	Dallas              	31
12/22/1991	Denver              	17	San Diego           	14
12/22/1991	Detroit             	17	Buffalo             	14
12/22/1991	Green Bay           	27	Minnesota           	 7
12/22/1991	Kansas City         	27	LA Raiders          	21
12/22/1991	New Orleans         	27	Phoenix             	 3
12/22/1991	NY Jets             	23	Miami               	20
12/22/1991	Washington          	22	Philadelphia        	24
12/22/1991	Cleveland           	10	Pittsburgh          	17
12/22/1991	LA Rams             	 9	Seattle             	23
12/22/1991	Indianapolis        	 3	Tampa Bay           	17
12/23/1991	Chicago             	14	San Francisco       	52
12/28/1991	Atlanta             	27	New Orleans         	20
12/28/1991	LA Raiders          	 6	Kansas City         	10
12/29/1991	Dallas              	17	Chicago             	13
12/29/1991	NY Jets             	10	Houston             	17
01/04/1992	Houston             	24	Denver              	26
01/04/1992	Atlanta             	 7	Washington          	24
01/05/1992	Kansas City         	14	Buffalo             	37
01/05/1992	Dallas              	 6	Detroit             	38
01/12/1992	Denver              	 7	Buffalo             	10
01/12/1992	Detroit             	10	Washington          	41
01/26/1992	Washington          	37	Buffalo             	24	0
