12/07/1997	Indianapolis        	22	NY Jets             	14
12/07/1997	Detroit             	30	Miami               	33
12/07/1997	New England         	26	Jacksonville        	20
12/07/1997	Seattle             	24	Baltimore           	31
12/07/1997	Denver              	24	Pittsburgh          	35
12/07/1997	Oakland             	 0	Kansas City         	30
12/07/1997	NY Giants           	31	Philadelphia        	21
12/07/1997	Washington          	38	Arizona             	28
12/07/1997	Buffalo             	 3	Chicago             	20
12/07/1997	Green Bay           	17	Tampa Bay           	 6
12/07/1997	Atlanta             	14	San Diego           	 3
12/07/1997	St Louis            	34	New Orleans         	27
12/07/1997	Minnesota           	17	San Francisco       	28
12/08/1997	Carolina            	23	Dallas              	13
12/13/1997	Pittsburgh          	24	New England         	21
12/13/1997	Washington          	10	NY Giants           	30
12/14/1997	Miami               	 0	Indianapolis        	41
12/14/1997	Tampa Bay           	 0	NY Jets             	31
12/14/1997	Tennessee           	19	Baltimore           	21
12/14/1997	Dallas              	24	Cincinnati          	31
12/14/1997	Jacksonville        	20	Buffalo             	14
12/14/1997	Kansas City         	29	San Diego           	 7
12/14/1997	Seattle             	22	Oakland             	21
12/14/1997	Chicago             	13	St Louis            	10
12/14/1997	Detroit             	14	Minnesota           	13
12/14/1997	Green Bay           	31	Carolina            	10
12/14/1997	Philadelphia        	17	Atlanta             	20
12/14/1997	Arizona             	10	New Orleans         	27
12/15/1997	Denver              	17	San Francisco       	34
12/20/1997	Buffalo             	21	Green Bay           	31
12/20/1997	St Louis            	30	Carolina            	18
12/21/1997	Baltimore           	14	Cincinnati          	16
12/21/1997	Pittsburgh          	 6	Tennessee           	16
12/21/1997	Jacksonville        	20	Oakland             	 9
12/21/1997	San Diego           	 3	Denver              	38
12/21/1997	New Orleans         	13	Kansas City         	25
12/21/1997	San Francisco       	 9	Seattle             	38
12/21/1997	Atlanta             	26	Arizona             	29
12/21/1997	NY Giants           	20	Dallas              	 7
12/21/1997	Philadelphia        	32	Washington          	35
12/21/1997	NY Jets             	10	Detroit             	13
12/21/1997	Indianapolis        	28	Minnesota           	39
12/21/1997	Chicago             	15	Tampa Bay           	31
12/22/1997	New England         	14	Miami               	12
12/27/1997	Jacksonville        	17	Denver              	42
12/27/1997	Minnesota           	23	NY Giants           	22
12/28/1997	Miami               	 3	New England         	17
12/28/1997	Detroit             	10	Tampa Bay           	20
01/03/1998	New England         	 6	Pittsburgh          	 7
01/03/1998	Minnesota           	22	San Francisco       	38
01/04/1998	Denver              	14	Kansas City         	10
01/04/1998	Tampa Bay           	 7	Green Bay           	21
01/11/1998	Denver              	24	Pittsburgh          	21
01/11/1998	Green Bay           	23	San Francisco       	10
01/25/1998	Denver              	31	Green Bay           	24	0
