12/17/1972	NY Giants           	23	Dallas              	 3
12/17/1972	Chicago             	21	Oakland             	28
12/17/1972	Pittsburgh          	24	San Diego           	 2
12/17/1972	Philadelphia        	23	St Louis            	24
12/23/1972	Dallas              	30	San Francisco       	28
12/23/1972	Oakland             	 7	Pittsburgh          	13
12/24/1972	Cleveland           	14	Miami               	20
12/24/1972	Green Bay           	 3	Washington          	16
12/31/1972	Miami               	21	Pittsburgh          	17
12/31/1972	Dallas              	 3	Washington          	26
01/14/1973	Miami               	14	Washington          	 7	n
