11/25/1979	Cleveland           	30	Pittsburgh          	33
11/25/1979	Kansas City         	 7	San Diego           	28
11/26/1979	NY Jets             	 7	Seattle             	30
11/29/1979	New England         	24	Miami               	39
12/02/1979	Atlanta             	28	San Diego           	26
12/02/1979	Chicago             	14	Tampa Bay           	 0
12/02/1979	Houston             	 7	Cleveland           	14
12/02/1979	NY Giants           	 7	Dallas              	28
12/02/1979	Denver              	19	Buffalo             	16
12/02/1979	Seattle             	21	Kansas City         	37
12/02/1979	Minnesota           	21	LA Rams             	27
12/02/1979	Baltimore           	17	NY Jets             	30
12/02/1979	Detroit             	 7	Philadelphia        	44
12/02/1979	Cincinnati          	17	Pittsburgh          	37
12/02/1979	San Francisco       	10	St Louis            	13
12/02/1979	Green Bay           	21	Washington          	38
12/03/1979	Oakland             	42	New Orleans         	35
12/08/1979	Dallas              	24	Philadelphia        	17
12/08/1979	Denver              	23	Seattle             	28
12/09/1979	Chicago             	15	Green Bay           	14
12/09/1979	Kansas City         	10	Baltimore           	 7
12/09/1979	LA Rams             	34	Atlanta             	13
12/09/1979	Miami               	28	Detroit             	10
12/09/1979	Buffalo             	 3	Minnesota           	10
12/09/1979	New England         	26	NY Jets             	27
12/09/1979	Cleveland           	14	Oakland             	19
12/09/1979	San Diego           	35	New Orleans         	 0
12/09/1979	Tampa Bay           	 7	San Francisco       	23
12/09/1979	NY Giants           	20	St Louis            	29
12/09/1979	Cincinnati          	14	Washington          	28
12/10/1979	Pittsburgh          	17	Houston             	20
12/15/1979	Green Bay           	18	Detroit             	13
12/15/1979	NY Jets             	27	Miami               	24
12/16/1979	San Francisco       	21	Atlanta             	31
12/16/1979	Baltimore           	31	NY Giants           	 7
12/16/1979	St Louis            	 6	Chicago             	42
12/16/1979	Cleveland           	12	Cincinnati          	16
12/16/1979	Washington          	34	Dallas              	35
12/16/1979	Minnesota           	23	New England         	27
12/16/1979	New Orleans         	29	LA Rams             	14
12/16/1979	Philadelphia        	26	Houston             	20
12/16/1979	Buffalo             	 0	Pittsburgh          	28
12/16/1979	Seattle             	29	Oakland             	24
12/16/1979	Kansas City         	 0	Tampa Bay           	 3
12/17/1979	Denver              	 7	San Diego           	17
12/23/1979	Denver              	 7	Houston             	13
12/23/1979	Chicago             	17	Philadelphia        	27
12/29/1979	Houston             	17	San Diego           	14
12/29/1979	Philadelphia        	17	Tampa Bay           	24
12/30/1979	LA Rams             	21	Dallas              	19
12/30/1979	Miami               	14	Pittsburgh          	34
01/06/1980	LA Rams             	 9	Tampa Bay           	 0
01/06/1980	Houston             	13	Pittsburgh          	27
01/20/1980	Pittsburgh          	31	LA Rams             	19	n

