12/27/1992	NY Giants           	10	Philadelphia        	20
12/27/1992	Cleveland           	13	Pittsburgh          	23
12/27/1992	San Diego           	31	Seattle             	14
12/27/1992	Tampa Bay           	 7	Phoenix             	 3
12/28/1992	Detroit             	 6	San Francisco       	24
01/02/1993	Kansas City         	 0	San Diego           	17
01/02/1993	Washington          	24	Minnesota           	 7
01/03/1993	Houston             	38	Buffalo             	41
01/03/1993	Philadelphia        	36	New Orleans         	20
01/09/1993	Buffalo             	24	Pittsburgh          	 3
01/09/1993	San Diego           	 0	Miami               	31
01/09/1993	Washington          	13	San Francisco       	20
01/10/1993	Philadelphia        	10	Dallas              	34
01/17/1993	Buffalo             	29	Miami               	10
01/17/1993	Dallas              	30	San Francisco       	20
01/31/1993	Dallas              	52	Buffalo             	17	0
