12/12/1999	Miami          	20	NY Jets        	28	1
12/12/1999	St Louis       	30	New Orleans    	14	1
12/12/1999	San Diego      	19	Seattle        	16	1
12/12/1999	Atlanta        	7	San Francisco  	26	1
12/12/1999	Detroit        	16	Tampa Bay      	23	1
12/12/1999	Arizona        	3	Washington     	28	1
12/13/1999	Denver         	24	Jacksonville   	27	1
12/18/1999	San Francisco  	24	Carolina       	41	1
12/18/1999	Pittsburgh     	19	Kansas City    	35	1
12/19/1999	New Orleans    	8	Baltimore      	31	1
12/19/1999	Buffalo        	31	Arizona        	21	1
12/19/1999	Detroit        	10	Chicago        	28	1
12/19/1999	Seattle        	30	Denver         	36	1
12/19/1999	Washington     	21	Indianapolis   	24	1
12/19/1999	Jacksonville   	24	Cleveland      	14	1
12/19/1999	San Diego      	9	Miami          	12	1
12/19/1999	NY Jets        	22	Dallas         	21	1
12/19/1999	Tampa Bay      	0	Oakland        	45	1
12/19/1999	New England    	9	Philadelphia   	24	1
12/19/1999	NY Giants      	10	St Louis       	31	1
12/19/1999	Atlanta        	17	Tennessee      	30	1
12/20/1999	Green Bay      	20	Minnesota      	24	1
12/24/1999	Dallas         	24	New Orleans    	31	1
12/25/1999	Denver         	17	Detroit        	7	1
12/26/1999	Arizona        	14	Atlanta        	37	1
12/26/1999	Cincinnati     	0	Baltimore      	22	1
12/26/1999	Buffalo        	13	New England    	10	1
12/26/1999	Indianapolis   	29	Cleveland      	28	1
12/26/1999	Minnesota      	34	NY Giants      	17	1
12/26/1999	Carolina       	20	Pittsburgh     	30	1
12/26/1999	Chicago        	12	St Louis       	34	1
12/26/1999	Oakland        	20	San Diego      	23	1
12/26/1999	Kansas City    	14	Seattle        	23	1
12/26/1999	Green Bay      	10	Tampa Bay      	29	1
12/26/1999	Jacksonville   	14	Tennessee      	41	1
12/26/1999	Washington     	26	San Francisco  	20	1
12/27/1999	NY Jets        	38	Miami          	31	1
01/02/2000	Indianapolis   	6	Buffalo        	31	1
01/02/2000	New Orleans    	13	Carolina       	45	1
01/02/2000	NY Giants      	18	Dallas         	26	1
