01/02/1994	Cincinnati          	13	New Orleans         	20
01/02/1994	Chicago             	 6	LA Rams             	20
01/02/1994	Buffalo             	30	Indianapolis        	10
01/02/1994	Miami               	27	New England         	33
01/02/1994	NY Jets             	 0	Houston             	24
01/02/1994	Cleveland           	 9	Pittsburgh          	16
01/02/1994	Seattle             	24	Kansas City         	34
01/02/1994	Denver              	30	LA Raiders          	33
01/02/1994	San Diego           	32	Tampa Bay           	17
01/03/1994	Philadelphia        	37	San Francisco       	34
01/08/1994	Green Bay           	28	Detroit             	24
01/08/1994	Pittsburgh          	24	Kansas City         	27
01/09/1994	Minnesota           	10	NY Giants           	17
01/09/1994	Denver              	24	LA Raiders          	42
01/15/1994	NY Giants           	 3	San Francisco       	44
01/15/1994	LA Raiders          	23	Buffalo             	29
01/16/1994	Green Bay           	17	Dallas              	27
01/16/1994	Kansas City         	28	Houston             	20
01/23/1994	San Francisco       	21	Dallas              	38
01/23/1994	Kansas City         	13	Buffalo             	30
01/30/1994	Dallas              	30	Buffalo             	13	0
