11/30/1986	Pittsburgh          	10	Chicago             	13
11/30/1986	Houston             	10	Cleveland           	13
11/30/1986	Cincinnati          	28	Denver              	34
11/30/1986	LA Rams             	17	NY Jets             	 3
11/30/1986	Tampa Bay           	13	Minnesota           	45
11/30/1986	New England         	21	New Orleans         	20
11/30/1986	Philadelphia        	33	LA Raiders          	27
11/30/1986	San Diego           	17	Indianapolis        	 3
11/30/1986	Washington          	20	St Louis            	17
12/01/1986	NY Giants           	21	San Francisco       	17
12/07/1986	Tampa Bay           	14	Chicago             	48
12/07/1986	Cincinnati          	31	New England         	 7
12/07/1986	Cleveland           	21	Buffalo             	17
12/07/1986	Indianapolis        	28	Atlanta             	23
12/07/1986	Denver              	10	Kansas City         	37
12/07/1986	Dallas              	10	LA Rams             	29
12/07/1986	Miami               	31	New Orleans         	27
12/07/1986	Minnesota           	32	Green Bay           	 6
12/07/1986	NY Giants           	24	Washington          	14
12/07/1986	Detroit             	17	Pittsburgh          	27
12/07/1986	St Louis            	10	Philadelphia        	10
12/07/1986	Houston             	 0	San Diego           	27
12/07/1986	NY Jets             	10	San Francisco       	24
12/08/1986	LA Raiders          	 0	Seattle             	37
12/13/1986	Washington          	30	Denver              	31
12/13/1986	Pittsburgh          	45	NY Jets             	24
12/14/1986	Cleveland           	34	Cincinnati          	 3
12/14/1986	Green Bay           	21	Tampa Bay           	 7
12/14/1986	Minnesota           	10	Houston             	23
12/14/1986	Buffalo             	14	Indianapolis        	24
12/14/1986	Kansas City         	20	LA Raiders          	17
12/14/1986	Miami               	37	LA Rams             	31
12/14/1986	New Orleans         	14	Atlanta             	 9
12/14/1986	St Louis            	 7	NY Giants           	27
12/14/1986	Philadelphia        	23	Dallas              	21
12/14/1986	San Francisco       	29	New England         	24
12/14/1986	Seattle             	34	San Diego           	24
12/15/1986	Chicago             	16	Detroit             	13
12/19/1986	LA Rams             	14	San Francisco       	24
12/20/1986	Green Bay           	24	NY Giants           	55
12/20/1986	Denver              	16	Seattle             	41
12/21/1986	Atlanta             	20	Detroit             	 6
12/21/1986	Chicago             	24	Dallas              	10
12/21/1986	NY Jets             	21	Cincinnati          	52
12/21/1986	San Diego           	17	Cleveland           	47
12/21/1986	Buffalo             	 7	Houston             	16
12/21/1986	Indianapolis        	30	LA Raiders          	24
12/21/1986	Kansas City         	24	Pittsburgh          	19
12/21/1986	New Orleans         	17	Minnesota           	33
12/21/1986	Tampa Bay           	17	St Louis            	21
12/21/1986	Washington          	21	Philadelphia        	14
12/22/1986	New England         	34	Miami               	27
12/28/1986	Kansas City         	15	NY Jets             	35
12/28/1986	LA Rams             	 7	Washington          	19
01/03/1987	NY Jets             	17	Cleveland           	20
01/03/1987	Washington          	27	Chicago             	13
01/04/1987	New England         	17	Denver              	22
01/04/1987	San Francisco       	 3	NY Giants           	49
01/11/1987	Denver              	23	Cleveland           	20
01/11/1987	Washington          	 0	NY Giants           	17
01/25/1987	NY Giants           	39	Denver              	20	0
